run_id,model,domain,task_type,difficulty,n,n_samples,n_needs_review,n_excluded_from_main,n_samples_unscored,n_items_unscored,mean_score,mean_score_incl_review,small_cell,ci_method,ci_low,ci_high,t2_judgment_accuracy,t2_verdict_ci_low,t2_verdict_ci_high,t4_pass_at_1,diagnostic_functional_threshold_rate,t4_performance_pass_rate,judge_mean_score_range,paper_eligible
midtier-20260828-v1,Hunyuan-A13B,D1,T1,Expert,7,7,0,0,0,0,0.8571428571428571,0.8571428571428571,False,wilson,0.486872170725691,0.9743203756552553,,,,,,,,True
midtier-20260828-v1,Hunyuan-A13B,D1,T1,Intermediate,20,20,0,0,0,0,0.8,0.8,False,wilson,0.5839825677481129,0.9193423374202,,,,,,,,True
midtier-20260828-v1,Hunyuan-A13B,D1,T2,Basic,5,5,0,0,0,0,0.7,0.7,False,item-cluster bootstrap B=20000 seed=20260805,0.45,0.95,1.0,0.5655175352168389,1.0,,,,0.0,True
midtier-20260828-v1,Hunyuan-A13B,D1,T2,Expert,3,3,0,0,0,0,0.5,0.5,True,"none (descriptive, n<5)",,,1.0,0.43850296824496815,1.0,,,,0.0,True
midtier-20260828-v1,Hunyuan-A13B,D1,T2,Intermediate,9,9,0,0,0,0,0.3611111111111111,0.3611111111111111,False,item-cluster bootstrap B=20000 seed=20260805,0.1388888888888889,0.5833333333333334,0.7777777777777778,0.45258896910699736,0.9367748928821513,,,,0.0,True
midtier-20260828-v1,Hunyuan-A13B,D1,T3,Basic,1,1,0,0,0,0,0.16666666666666666,0.16666666666666666,True,none (n<2),,,,,,,,,0.0,True
midtier-20260828-v1,Hunyuan-A13B,D1,T3,Expert,8,8,0,0,0,0,0.2958333333333334,0.2958333333333334,False,item-cluster bootstrap B=20000 seed=20260805,0.175,0.4083333333333333,,,,,,,0.0,True
midtier-20260828-v1,Hunyuan-A13B,D1,T3,Intermediate,6,6,0,0,0,0,0.3916666666666666,0.3916666666666666,False,item-cluster bootstrap B=20000 seed=20260805,0.2722222222222222,0.5222222222222223,,,,,,,0.0,True
midtier-20260828-v1,Hunyuan-A13B,D1,T4,Basic,2,2,0,0,0,0,0.5,0.5,True,wilson,0.09453120573423462,0.9054687942657653,,,,0.5,0.5,1.0,,True
midtier-20260828-v1,Hunyuan-A13B,D1,T4,Expert,3,3,1,0,0,0,0.3333333333333333,0.3333333333333333,True,wilson,0.06149194472039865,0.7923403991979453,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,,True
